Spectrum
918675
1127396
1458912
2066716
3542858
12399862
8266585
3100012
1907750
1377873
1078391
885878
751711
652860
577005
516959
468249
427942
394038
365125
340177
318431
299309
282363
267243
253669
241416
230300
220171
210903
202391
194547
187294
180570
174318
168490
163046
157948
153165
148668
144433
140438
136663
133091
129705
126492
123439
120534
117767
115128
112610
110203
107901
105697
103585
101559
99615
97748
95953
94226
92563
90962
89418
87929
86492
85105
83764
82468
81215
80002
78827
77690
76587
75519
74482
73477
72500
71553
70632
69737
68867
68021
67198
66397
65618
64859
64120
63400
62698
62013
61346
60696
60061
59441
58837
58247
57670
57107
56557
56020
55495
54982
54480
53989
53509
53039
52580
52130
51690
51259
50837
50424
50020
49623
49235
48855
48482
48117
47759
47408
47064
46727
46396
46072
45753
45441
45135
44835
44540
44251
43967
43688
43414
43146
42882
42624
42369
42120
41875
41634
41398
41166
40938
40714
40494
40277
40065
39856
39651
39450
39252
39058
38867
38679
38494
38313
38135
37960
37787
37618
37452
37289
37128
36970
36815
36663
36513
36366
36221
36079
35939
35802
35667
35534
35404
35276
35150
35027
34905
34786
34669
34554
34441
34330
34221
34114
34009
33906
33805
33705
33608
33512
33418
33326
33236
33147
33060
32975
32891
32809
32729
32651
32574
32498
32424
32352
32281
32212
32144
32078
32013
31949
31888
31827
31768
31710
31654
31599
31546
31494
31443
31393
31345
31299
31253
31209
31166
31125
31084
31045
31008
30971
30936
30902
30869
30838
30807
30778
30750
30724
30698
30674
30651
30629
30608
30589
30570
30553
30537
30522
30508
30496
30485
30474
30465
30457
30451
30445
30440
30437
30435
30434
30434
30435
30438
30441
30446
30452
30459
30467
30476
30487
30498
30511
30525
30540
30556
30574
30592
30612
30633
30655
30679
30703
30729
30756
30784
30813
30844
30876
30909
30943
30978
31015
31053
31092
31133
31175
31218
31262
31308
31355
31403
31453
31504
31556
31610
31665
31722
31780
31839
31900
31962
32026
32091
32157
32225
32295
32366
32439
32513
32589
32666
32745
32826
32908
32992
33077
33165
33254
33344
33437
33531
33627
33725
33825
33926
34030
34135
34243
34352
34463
34577
34692
34810
34929
35051
35175
35301
35430
35561
35694
35829
35967
36107
36250
36395
36543
36693
36846
37002
37160
37321
37485
37652
37822
37994
38170
38349
38531
38716
38905
39096
39291
39490
39692
39898
40107
40320
40537
40758
40983
41212
41445
41682
41923
42169
42420
42675
42935
43199
43469
43743
44023
44308
44598
44894
45196
45503
45817
46136
46462
46794
47132
47478
47830
48190
48556
48930
49312
49702
50100
50506
50921
51344
51777
52219
52671
53132
53604
54086
54579
55083
55599
56127
56666
57219
57785
58364
58957
59564
60187
60825
61478
62149
62837
63542
64266
65009
65772
66556
67361
68188
69039
69914
70814
71740
72693
73675
74687
75730
76805
77914
79059
80241
81462
82724
84029
85378
86776
88223
89722
91277
92891
94566
96306
98115
99998
101958
104000
106130
108353
110676
113104
115646
118310
121104
124037
127121
130368
133790
137402
141219
145261
149546
154098
158941
164106
169624
175533
181875
188701
196066
204038
212693
222125
232440
243770
256272
270135
285596
302946
322554
344889
370562
400381
435437
477241
527946
590731
670492
775190
